ID,LANGUAGE,LEVEL
1,Kazakh,Advanced
1,Lao,Basic
2,Assamese,Basic
2,Papiamento,Expert
2,Telugu,Basic
3,Swati,Expert
4,Chinese,Advanced
4,Mongolian,Basic
5,Filipino,Basic
5,Kazakh,Basic
6,Northern Sotho,Basic
6,Tswana,Expert
6,Georgian,Advanced
7,Korean,Basic
8,Kazakh,Expert
9,Haitian Creole,Advanced
9,Quechua,Basic
9,Thai,Expert
10,Oriya,Basic
10,Luxembourgish,Basic
10,Dzongkha,Expert
11,Swedish,Advanced
11,Bislama,Advanced
12,Hindi,Basic
12,Portuguese,Advanced
12,Luxembourgish,Expert
13,Finnish,Basic
13,Swati,Basic
14,Swahili,Expert
14,Persian,Basic
15,Pashto,Basic
15,Dari,Expert
16,Georgian,Advanced
16,Swati,Expert
17,Tetum,Advanced
17,Somali,Basic
18,Dzongkha,Advanced
18,Northern Sotho,Expert
19,Arabic,Expert
19,Telugu,Advanced
19,Italian,Expert
20,Belarusian,Basic
20,Romanian,Advanced
21,Azeri,Expert
21,Quechua,Expert
22,Portuguese,Basic
23,Bengali,Advanced
24,Georgian,Advanced
24,Dhivehi,Expert
24,Quechua,Expert
25,Latvian,Advanced
25,Tswana,Advanced
25,Punjabi,Advanced
26,Hiri Motu,Advanced
26,Czech,Expert
27,Luxembourgish,Basic
27,Danish,Advanced
27,Kyrgyz,Basic
28,Nepali,Basic
29,Estonian,Expert
30,Dutch,Expert
31,Mongolian,Expert
32,Persian,Basic
32,Swahili,Basic
33,Tajik,Expert
34,Amharic,Expert
35,Luxembourgish,Basic
35,Pashto,Basic
36,Kazakh,Expert
37,Swahili,Basic
37,Moldovan,Advanced
37,Oriya,Expert
38,Punjabi,Basic
38,Quechua,Expert
38,Aymara,Advanced
39,Sotho,Basic
39,Dutch,Expert
40,Filipino,Basic
41,Bislama,Expert
41,Burmese,Advanced
41,Somali,Advanced
42,Portuguese,Expert
43,Kazakh,Expert
44,Tamil,Expert
44,Khmer,Basic
44,Tamil,Basic
45,Khmer,Expert
46,Telugu,Basic
47,Fijian,Basic
47,Thai,Basic
47,Tok Pisin,Basic
48,Gagauz,Advanced
49,English,Expert
49,Assamese,Expert
50,Zulu,Basic
51,Dari,Basic
52,Nepali,Advanced
52,Thai,Expert
53,Haitian Creole,Advanced
53,Swedish,Basic
53,Ndebele,Expert
54,Polish,Expert
54,Chinese,Expert
55,Dari,Advanced
55,Punjabi,Expert
56,Kazakh,Expert
56,Kazakh,Advanced
56,Moldovan,Expert
57,Tswana,Expert
57,Hiri Motu,Expert
57,Macedonian,Expert
58,Estonian,Advanced
58,Burmese,Advanced
58,French,Expert
59,Danish,Advanced
60,Lao,Expert
60,Kannada,Advanced
61,French,Advanced
61,Somali,Advanced
61,Somali,Advanced
62,Danish,Expert
62,Khmer,Basic
63,Burmese,Basic
64,Pashto,Basic
64,Papiamento,Basic
65,Tajik,Basic
65,Portuguese,Advanced
65,Northern Sotho,Basic
66,Arabic,Expert
66,Telugu,Advanced
66,Yiddish,Advanced
67,Khmer,Basic
67,Mongolian,Basic
67,Amharic,Expert
68,Korean,Basic
68,Filipino,Advanced
69,German,Basic
70,Lithuanian,Expert
71,Malayalam,Advanced
72,Moldovan,Basic
72,Irish Gaelic,Advanced
72,French,Basic
73,Arabic,Basic
74,Hiri Motu,Expert
74,Chinese,Basic
75,Tsonga,Advanced
75,Chinese,Advanced
75,Kashmiri,Expert
76,Lao,Expert
76,Icelandic,Basic
76,Kannada,Advanced
77,Romanian,Expert
78,Khmer,Basic
79,Dutch,Advanced
80,Marathi,Advanced
80,Bulgarian,Advanced
80,Gujarati,Basic
81,Albanian,Basic
81,Haitian Creole,Expert
82,Chinese,Advanced
82,German,Basic
83,Sotho,Expert
84,Pashto,Expert
84,Swati,Expert
85,Punjabi,Advanced
86,Albanian,Expert
86,Chinese,Expert
86,Dhivehi,Expert
87,Armenian,Basic
88,Kurdish,Basic
88,Fijian,Expert
88,Papiamento,Expert
89,Aymara,Expert
89,Punjabi,Expert
90,Luxembourgish,Expert
90,Tswana,Advanced
90,Catalan,Basic
91,Kannada,Advanced
91,Bosnian,Advanced
92,Zulu,Advanced
92,Hiri Motu,Basic
92,Kurdish,Advanced
93,Polish,Advanced
93,Malagasy,Basic
93,Zulu,Basic
94,Nepali,Expert
94,Irish Gaelic,Basic
94,Macedonian,Basic
95,Tetum,Basic
95,Haitian Creole,Basic
96,Telugu,Advanced
96,Khmer,Advanced
96,Dari,Advanced
97,Kannada,Expert
97,Estonian,Advanced
97,Kurdish,Basic
98,Tamil,Expert
98,Belarusian,Expert
99,English,Advanced
99,Hungarian,Advanced
99,English,Advanced
100,Icelandic,Advanced
100,Norwegian,Expert
101,Spanish,Advanced
102,Bislama,Basic
103,Romanian,Advanced
103,Catalan,Expert
103,German,Basic
104,Amharic,Basic
104,German,Basic
105,Dutch,Basic
105,Māori,Basic
106,Swahili,Basic
107,Danish,Basic
108,Danish,Basic
108,Bislama,Advanced
109,Persian,Basic
110,Norwegian,Expert
110,Persian,Advanced
111,Somali,Advanced
111,English,Basic
111,Azeri,Expert
112,Hungarian,Expert
112,Korean,Expert
113,Armenian,Basic
113,Estonian,Advanced
113,Tajik,Expert
114,Thai,Expert
114,Tajik,Advanced
115,Punjabi,Basic
116,Chinese,Basic
116,Thai,Expert
117,Polish,Expert
118,Maltese,Expert
118,Hindi,Advanced
119,Dari,Advanced
120,Norwegian,Expert
121,Estonian,Advanced
122,Catalan,Expert
122,Spanish,Basic
122,Malagasy,Basic
123,Mongolian,Advanced
123,French,Advanced
124,Hungarian,Expert
124,Yiddish,Expert
124,Somali,Basic
125,Kashmiri,Basic
126,Swahili,Basic
126,Gujarati,Expert
127,Catalan,Advanced
127,Bengali,Advanced
127,Icelandic,Expert
128,Pashto,Advanced
129,Kurdish,Basic
129,Italian,Advanced
130,Malagasy,Basic
130,Marathi,Advanced
131,Sotho,Expert
132,Fijian,Expert
132,Tetum,Expert
132,Japanese,Basic
133,Ndebele,Expert
134,Hebrew,Expert
134,Burmese,Expert
134,Hebrew,Basic
135,Filipino,Advanced
135,Hebrew,Advanced
136,German,Basic
137,Hebrew,Advanced
137,Tamil,Expert
138,Kazakh,Expert
138,Montenegrin,Expert
139,Swati,Advanced
140,Assamese,Expert
141,Tsonga,Expert
141,Chinese,Expert
141,Malayalam,Expert
142,Catalan,Expert
142,Yiddish,Expert
143,Telugu,Advanced
143,Filipino,Basic
143,Hiri Motu,Advanced
144,Tetum,Expert
145,Indonesian,Expert
145,Tetum,Basic
145,Hebrew,Basic
146,Greek,Advanced
147,Catalan,Basic
148,Azeri,Expert
149,Dhivehi,Expert
150,Māori,Basic
150,Estonian,Advanced
151,Estonian,Basic
152,Aymara,Expert
153,Kyrgyz,Advanced
153,Maltese,Basic
154,Montenegrin,Expert
154,Quechua,Advanced
154,Māori,Advanced
155,Romanian,Advanced
155,Gujarati,Basic
156,Māori,Expert
156,Malagasy,Advanced
156,Lithuanian,Advanced
157,Fijian,Advanced
158,French,Advanced
159,Tajik,Basic
159,Irish Gaelic,Expert
159,Tajik,Expert
160,Icelandic,Expert
160,Yiddish,Expert
160,Kannada,Basic
161,Azeri,Expert
161,Lao,Basic
161,Papiamento,Advanced
162,Malay,Expert
162,Georgian,Advanced
162,Telugu,Basic
163,Ndebele,Basic
164,Khmer,Advanced
164,Indonesian,Expert
165,Oriya,Expert
165,Aymara,Advanced
165,Albanian,Advanced
166,English,Advanced
166,Dzongkha,Expert
166,Ndebele,Basic
167,Papiamento,Expert
167,Marathi,Advanced
168,New Zealand Sign Language,Expert
168,Lao,Advanced
169,Azeri,Expert
170,Papiamento,Basic
170,Indonesian,Advanced
171,Tetum,Basic
172,Georgian,Advanced
172,Persian,Advanced
173,Armenian,Advanced
174,English,Expert
174,French,Expert
174,Māori,Basic
175,Tswana,Basic
176,Fijian,Basic
176,Aymara,Basic
177,Georgian,Advanced
178,Afrikaans,Advanced
178,Tswana,Expert
179,Hebrew,Basic
180,Hungarian,Expert
180,Spanish,Advanced
180,Norwegian,Expert
181,Persian,Expert
181,Telugu,Basic
181,Quechua,Basic
182,Swati,Basic
183,Amharic,Expert
184,Indonesian,Basic
184,Hiri Motu,Basic
184,Korean,Expert
185,Moldovan,Expert
185,Norwegian,Basic
185,Yiddish,Expert
186,Oriya,Basic
186,Catalan,Advanced
186,German,Basic
187,Malay,Basic
187,Sotho,Expert
187,German,Basic
188,Tsonga,Expert
188,Maltese,Expert
189,Bengali,Advanced
189,Mongolian,Basic
189,Latvian,Advanced
190,Fijian,Advanced
190,English,Advanced
190,Arabic,Basic
191,Bislama,Advanced
191,Bislama,Advanced
191,New Zealand Sign Language,Expert
192,Arabic,Advanced
192,Catalan,Basic
192,Papiamento,Advanced
193,Burmese,Advanced
194,Punjabi,Advanced
195,Malay,Advanced
196,Pashto,Expert
196,Romanian,Advanced
196,Dzongkha,Basic
197,Moldovan,Expert
198,Croatian,Expert
198,Catalan,Basic
198,Punjabi,Advanced
199,Italian,Advanced
199,Macedonian,Expert
200,Tok Pisin,Basic
200,Thai,Basic
